P/T (kPa/K),Den (Kg/cu m),Temp (C),Pres (kPa),Alt (m)
1.4055398619262E-05,4.8991E-5,99.079800,5.2311E-3,77020
1.40693943743961E-05,4.9039E-5,99.049900,5.2359E-3,77010
1.40834051920948E-05,4.9088E-5,99.020000,5.2407E-3,77000
1.40974310897808E-05,4.9137E-5,98.990100,5.2455E-3,76990
1.41114720848988E-05,4.9186E-5,98.960200,5.2503E-3,76980
1.41255281949147E-05,4.9235E-5,98.930300,5.2551E-3,76970
1.41395994373162E-05,4.9284E-5,98.900400,5.2599E-3,76960
1.41536858296126E-05,4.9333E-5,98.870500,5.2648E-3,76950
1.4167787389335E-05,4.9382E-5,98.840600,5.2696E-3,76940
1.41819041340361E-05,4.9432E-5,98.810700,5.2744E-3,76930
1.41960360812902E-05,4.9481E-5,98.780800,5.2792E-3,76920
1.42101832486935E-05,4.9530E-5,98.750900,5.2841E-3,76910
1.42243456538639E-05,4.9579E-5,98.721000,5.2889E-3,76900
1.42385233144413E-05,4.9629E-5,98.691100,5.2938E-3,76890
1.42527162480873E-05,4.9678E-5,98.661200,5.2986E-3,76880
1.42669244724853E-05,4.9728E-5,98.631300,5.3035E-3,76870
1.42811480053407E-05,4.9777E-5,98.601400,5.3083E-3,76860
1.42953868643807E-05,4.9827E-5,98.571500,5.3132E-3,76850
1.43096410673548E-05,4.9877E-5,98.541600,5.3181E-3,76840
1.43239106320341E-05,4.9926E-5,98.511700,5.3229E-3,76830
1.43381955762118E-05,4.9976E-5,98.481800,5.3278E-3,76820
1.43524959177034E-05,5.0026E-5,98.451900,5.3327E-3,76810
1.43668116743461E-05,5.0076E-5,98.422000,5.3376E-3,76800
1.43811428639994E-05,5.0126E-5,98.392100,5.3425E-3,76790
1.4395489504545E-05,5.0176E-5,98.362200,5.3474E-3,76780
1.44098516138867E-05,5.0226E-5,98.332300,5.3523E-3,76770
1.44242292099503E-05,5.0276E-5,98.302400,5.3572E-3,76760
1.44386223106841E-05,5.0326E-5,98.272500,5.3621E-3,76750
1.44530309340586E-05,5.0377E-5,98.242600,5.3670E-3,76740
1.44674550980664E-05,5.0427E-5,98.212700,5.3719E-3,76730
1.44818948207225E-05,5.0477E-5,98.182800,5.3769E-3,76720
1.44963501200643E-05,5.0528E-5,98.152900,5.3818E-3,76710
1.45108210141515E-05,5.0578E-5,98.123000,5.3868E-3,76700
1.45253075210662E-05,5.0628E-5,98.093100,5.3917E-3,76690
1.4539809658913E-05,5.0679E-5,98.063200,5.3966E-3,76680
1.45543274458188E-05,5.0730E-5,98.033300,5.4016E-3,76670
1.45688608999332E-05,5.0780E-5,98.003400,5.4066E-3,76660
1.45834100394281E-05,5.0831E-5,97.973500,5.4115E-3,76650
1.45979748824981E-05,5.0882E-5,97.943600,5.4165E-3,76640
1.46125554473603E-05,5.0933E-5,97.913700,5.4215E-3,76630
1.46271517522543E-05,5.0983E-5,97.883800,5.4264E-3,76620
1.46417638154426E-05,5.1034E-5,97.853900,5.4314E-3,76610
1.46563916552101E-05,5.1085E-5,97.824000,5.4364E-3,76600
1.46710352898646E-05,5.1136E-5,97.794100,5.4414E-3,76590
1.46856947377365E-05,5.1188E-5,97.764200,5.4464E-3,76580
1.47003700171789E-05,5.1239E-5,97.734300,5.4514E-3,76570
1.47150611465679E-05,5.1290E-5,97.704400,5.4564E-3,76560
1.47297681443022E-05,5.1341E-5,97.674500,5.4614E-3,76550
1.47444910288033E-05,5.1392E-5,97.644600,5.4664E-3,76540
1.4759229818516E-05,5.1444E-5,97.614700,5.4715E-3,76530
1.47739845319074E-05,5.1495E-5,97.584800,5.4765E-3,76520
1.4788755187468E-05,5.1547E-5,97.554900,5.4815E-3,76510
1.4803541803711E-05,5.1598E-5,97.525000,5.4866E-3,76500
1.48183443991728E-05,5.1650E-5,97.495100,5.4916E-3,76490
1.48331629924127E-05,5.1702E-5,97.465200,5.4967E-3,76480
1.48479976020131E-05,5.1753E-5,97.435300,5.5017E-3,76470
1.48628482465793E-05,5.1805E-5,97.405400,5.5068E-3,76460
1.487771494474E-05,5.1857E-5,97.375500,5.5118E-3,76450
1.4892597715147E-05,5.1909E-5,97.345600,5.5169E-3,76440
1.49074965764751E-05,5.1961E-5,97.315700,5.5220E-3,76430
1.49224115474224E-05,5.2013E-5,97.285800,5.5270E-3,76420
1.49373426467103E-05,5.2065E-5,97.255900,5.5321E-3,76410
1.49522898930834E-05,5.2117E-5,97.226000,5.5372E-3,76400
1.49672533053097E-05,5.2169E-5,97.196100,5.5423E-3,76390
1.49822329021803E-05,5.2221E-5,97.166200,5.5474E-3,76380
1.499722870251E-05,5.2273E-5,97.136300,5.5525E-3,76370
1.50122407251368E-05,5.2326E-5,97.106400,5.5576E-3,76360
1.5027268988922E-05,5.2378E-5,97.076500,5.5627E-3,76350
1.50423135127506E-05,5.2431E-5,97.046600,5.5679E-3,76340
1.5057374315531E-05,5.2483E-5,97.016700,5.5730E-3,76330
1.50724514161951E-05,5.2536E-5,96.986800,5.5781E-3,76320
1.50875448336982E-05,5.2588E-5,96.956900,5.5833E-3,76310
1.51026545870195E-05,5.2641E-5,96.927000,5.5884E-3,76300
1.51177806951616E-05,5.2694E-5,96.897100,5.5935E-3,76290
1.51329231771508E-05,5.2746E-5,96.867200,5.5987E-3,76280
